time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570542298.8,2019-10-08,15:44:58.800,14.0,9.0,14.9499998092651,10.9,-4.1,2.0,17.1,-1.0,-72.6,9.70665,-3.4481,2.43213,11.831,4.95402,3.94641,19.9574,13.6089,-75.7994,0.192912,0.299051,0.946556,248.3,5.4,52.17,4.4272,4.0,-2.34044,110.293,4.23172,67.7616,11.4009,242.936,1.29515,0.31398,252.467,0.488396,1.4312,-34.8284606933594,22.0267143249512,-35.0,22.0,2285240.0,984.464,pp-riro,4,0,-1,-1
1570542298.9,2019-10-08,15:44:58.900,14.0,9.0,14.7700004577637,12.0,-3.4,2.4,19.0,-2.5,-67.1,10.7436,-2.80642,2.75431,9.83751,7.21398,3.00824,22.1658,12.6059,-69.6973,0.141065,0.27737,0.992439,248.3,5.4,52.17,4.4272,4.0,-2.3199400000000003,108.583,4.231730000000001,67.3818,12.9209,242.836,1.29544,0.291198,252.343,0.6140260000000001,1.53974,-34.971832275390604,22.007661819458,-35.0,22.0,2285270.0,615.29,pp-riro,4,0,-1,-1
1570542299.0,2019-10-08,15:44:59.000,14.0,9.0,14.5900001525879,13.1,-2.5,2.6,20.8,-4.0,-62.0,11.209,-2.37838,3.01447,9.90504,7.5157,6.42585,23.2655,11.8815,-66.7037,0.0749165,0.0911514,1.03709,248.3,5.4,52.17,4.4272,4.0,-2.29002,103.63,4.23169,67.0605,14.061,242.636,1.29557,0.274014,252.125,0.727224,1.6411,-34.971832275390604,22.0009689331055,-35.0,22.0,2285120.0,-2614.98,pp-riro,4,0,-1,-1
1570542299.1,2019-10-08,15:44:59.100,14.0,8.0,14.5299997329712,14.0,-1.6,2.8,22.6,-5.0,-56.5,12.6425,-1.15887,3.42372,8.48888,7.760619999999999,1.20087,26.1763,9.36132,-58.0789,0.2500969999999999,0.202818,0.962661,248.3,5.4,52.17,4.42719,4.0,-2.28005,98.4859,4.23171,66.8561,15.201,242.536,1.2953,0.257112,252.041,0.845567,1.72988,-34.970123291015604,22.0009689331055,-35.0,22.0,2284600.0,-5906.78,pp-riro,4,0,-1,-1
1570542299.2,2019-10-08,15:44:59.200,14.0,8.0,14.3999996185303,15.0,-0.8,3.2,24.3,-6.7,-51.1,13.5265,-0.306767,3.7102,10.3938,8.56125,2.97663,28.0561,7.819789999999999,-52.2934,0.1663099999999999,0.241337,1.02531,248.3,5.4,52.17,4.42719,4.0,-2.30221,97.9484,4.2317,66.71,16.7211,242.336,1.29427,0.235091,251.906,0.969865,1.81255,-34.9889068603516,22.0009689331055,-35.0,22.0,2283740.0,-6583.6,pp-riro,4,0,-1,-1
1570542299.3,2019-10-08,15:44:59.300,14.0,8.0,14.3999996185303,15.8,0.0,3.6,25.6,-9.0,-45.9,14.335,0.5076390000000001,4.03679,7.568010000000001,7.544289999999999,4.7712,29.6702,5.94886,-46.1632,0.300708,0.255005,1.04866,248.3,5.4,52.17,4.42719,4.0,-2.30664,100.192,4.2317,66.6516,18.2411,242.136,1.2928,0.213551,251.804,1.0928,1.88774,-34.9906158447266,22.0009689331055,-35.0,22.0,2283360.0,-7229.65,pp-riro,4,0,-1,-1
1570542299.4,2019-10-08,15:44:59.400,14.0,10.0,14.3400001525879,16.6,1.2,4.1,27.0,-11.0,-40.4,14.335,0.5076390000000001,4.03679,7.568010000000001,7.544289999999999,4.7712,29.6702,5.94886,-46.1632,0.300708,0.255005,1.04866,248.3,5.4,52.17,4.42719,4.0,-2.31163,104.51,4.2317,66.6807,20.1412,241.836,1.29036,0.187353,251.668,1.22438,1.98594,-34.9906158447266,22.0009689331055,-35.0,22.0,2282910.0,-3107.21,pp-riro,4,0,-1,-1
1570542299.5,2019-10-08,15:44:59.500,14.0,10.0,14.3400001525879,17.3,2.4,4.5,28.0,-12.8,-35.1,14.7356,0.944226,4.29455,8.17714,8.48707,5.44925,30.2806,4.89485,-43.1504,0.124002,0.205342,1.03094,245.6,6.8,52.17,4.42719,4.0,-2.29279,101.351,4.23169,66.85600000000001,21.2812,241.436,1.28799,0.172523,251.424,1.33973,2.06505,-34.9991455078125,22.0009689331055,-35.0,22.0,2282550.0,-3261.04,pp-riro,4,0,-1,-1
1570542299.6,2019-10-08,15:44:59.600,14.0,11.0,14.2799997329712,17.9,3.6,4.9,28.9,-14.8,-29.8,16.3786,3.63401,5.34779,7.65073,11.8871,5.51814,32.6272,-0.5568029999999999,-28.6509,0.0273459,0.202426,0.998085,245.6,6.8,52.17,4.42719,4.0,-2.29501,100.789,4.23168,67.1188,23.1813,241.136,1.28441,0.148151,251.374,1.4651,2.14808,-35.0008544921875,22.0009689331055,-35.0,22.0,2282270.0,-5353.02,pp-riro,4,0,-1,-1
1570542299.7,2019-10-08,15:44:59.700,14.0,10.0,14.3400001525879,18.4,4.8,5.5,29.5,-16.9,-24.4,16.3786,3.63401,5.34779,7.65073,11.8871,5.51814,32.6272,-0.5568029999999999,-28.6509,0.0273459,0.202426,0.998085,245.6,6.8,52.17,4.42719,4.0,-2.2867,106.826,4.231669999999999,67.4985,25.0814,240.636,1.28004,0.124944,251.179,1.59085,2.22834,-35.0076751708984,22.0009689331055,-35.0,22.0,2281710.0,-1938.16,pp-riro,4,0,-1,-1
