time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570539181.4,2019-10-08,14:53:01.400,15.0,8.0,14.7299995422363,13.4,-2.9,3.8,19.8,-10.4,-50.4,12.4871,-2.06925,4.43558,5.35085,10.9226,6.33869,24.8883,3.19375,-47.926,0.169851,0.257481,1.0164799999999998,248.3,4.3,52.1701,4.42726,1.4,-3.33835,105.755,4.4170300000000005,37.6778,10.6405,241.879,1.41032,0.020105,245.027,0.997161,1.6761700000000002,-34.971832275390604,22.0009689331055,-35.0,22.0,53750.6,-3568.68,pp-riro,4,0,-1,-1
1570539181.5,2019-10-08,14:53:01.500,15.0,7.0,14.609999656677198,14.2,-1.9,4.2,20.9,-12.1,-45.1,13.3076,-1.01273,4.80076,6.834919999999999,10.1931,4.40864,26.043000000000003,1.4941799999999998,-42.0293,-0.0172132999999999,0.18935,1.04375,248.3,4.3,52.1701,4.42726,1.4,-3.31951,102.881,4.41699,37.4149,11.7806,241.579,1.40983,-0.009637,244.743,1.12511,1.78657,-34.975250244140604,22.0009689331055,-35.0,22.0,53559.3,-3691.74,pp-riro,4,0,-1,-1
1570539181.6,2019-10-08,14:53:01.600,15.0,7.0,14.4899997711182,14.8,-0.6,4.4,21.8,-13.7,-39.9,13.3076,-1.01273,4.80076,6.834919999999999,10.1931,4.40864,26.043000000000003,1.4941799999999998,-42.0293,-0.0172132999999999,0.18935,1.04375,248.3,4.3,52.1701,4.42726,1.4,-3.31785,92.2083,4.41695,37.2396,13.6807,241.279,1.40783,-0.0566314,244.519,1.26851,1.92377,-34.9940185546875,22.0009689331055,-35.0,22.0,52990.8,-8152.59,pp-riro,4,0,-1,-1
1570539181.7,2019-10-08,14:53:01.700,15.0,8.0,14.369999885559098,15.4,0.6,4.5,23.0,-14.8,-34.6,13.845,0.1054619999999999,5.15369,5.12858,14.7862,2.84594,27.1247,-0.2213659999999999,-36.3695,0.125242,0.20801,0.978754,248.3,4.3,52.1701,4.42726,1.4,-3.35885,86.1803,4.416919999999999,37.1812,14.8207,240.979,1.4062,-0.0838516,244.281,1.3918,2.02707,-34.9974365234375,22.0009689331055,-35.0,22.0,51494.6,-17720.3,pp-riro,4,0,-1,-1
1570539181.8,2019-10-08,14:53:01.800,15.0,6.0,14.369999885559098,16.1,1.6,4.8,23.7,-15.8,-29.4,14.3849,1.32271,5.30521,5.24865,11.5525,-0.3025739999999999,28.0096,-1.8462,-30.9654,0.181232,0.125891,0.901267,248.3,4.3,52.1701,4.42726,1.4,-3.4475,95.7758,4.41688,37.2688,16.7208,240.579,1.40261,-0.126244,244.022,1.52803,2.12779,-34.9974365234375,22.0009689331055,-35.0,22.0,48901.1,-13751.7,pp-riro,4,0,-1,-1
1570539181.9,2019-10-08,14:53:01.900,15.0,8.0,14.359999656677198,16.5,2.6,5.2,24.7,-16.8,-24.3,15.2202,2.8224,5.71788,4.88794,10.5859,2.95806,29.0711,-3.877380000000001,-22.9519,0.0953926,0.339373,0.950083,248.3,4.3,52.1701,4.42726,1.6,-3.4646800000000004,100.939,4.4168400000000005,37.4148,18.2408,240.279,1.39926,-0.158075,243.858,1.65126,2.21644,-34.9974365234375,22.0009689331055,-35.0,22.0,47804.1,-9413.93,pp-riro,4,0,-1,-1
1570539182.0,2019-10-08,14:53:02.000,15.0,7.0,14.1800003051758,16.8,3.8,5.7,24.8,-19.0,-18.8,15.4704,3.74166,6.184130000000001,1.17958,11.4117,4.17431,29.4943,-5.326169999999999,-17.0235,0.124843,0.238835,1.06777,248.3,4.3,52.1701,4.42726,1.6,-3.4713300000000005,98.7328,4.41681,37.6777,20.1409,239.779,1.39447,-0.195349,243.555,1.79011,2.31926,-35.0025634765625,22.0009689331055,-35.0,22.0,47499.2,-6029.84,pp-riro,4,0,-1,-1
1570539182.1,2019-10-08,14:53:02.100,15.0,8.0,13.9899997711182,16.7,5.0,5.9,24.8,-21.5,-13.0,15.4929,4.89962,6.4653,-0.851456,13.3138,4.42519,29.2955,-7.3675,-10.7444,0.141146,0.197526,1.03327,248.3,4.3,52.1701,4.42726,1.6,-3.50956,85.8297,4.41677,38.0866,21.6609,239.379,1.38976,-0.2214949999999999,243.356,1.92323,2.41158,-35.0076751708984,22.0009689331055,-35.0,22.0,45495.3,-17935.7,pp-riro,4,0,-1,-1
1570539182.2,2019-10-08,14:53:02.200,15.0,9.0,14.1800003051758,16.8,6.4,6.1,24.8,-23.0,-6.8,15.4677,5.51151,6.48451,0.38032,10.8155,0.0130602,29.0397,-8.42303,-7.72866,0.0357193,0.171018,1.07336,248.3,4.3,52.1701,4.42726,1.6,-3.5339400000000003,86.3278,4.41674,38.6415,23.181,238.779,1.38427,-0.2446949999999999,242.99400000000003,2.05586,2.50445,-35.0093841552734,22.0009689331055,-35.0,22.0,44439.4,-20058.4,pp-riro,4,0,-1,-1
1570539182.3,2019-10-08,14:53:02.300,15.0,11.0,14.4899997711182,16.9,7.7,6.2,24.6,-23.7,-0.5,15.5309,7.304139999999999,6.66935,0.576767,13.2631,3.62163,28.3912,-10.8971,1.3428,0.179873,0.357746,0.985593,251.1,4.6,52.1701,4.42726,1.6,-3.60818,102.9,4.41672,39.2548,24.7011,238.279,1.37856,-0.26598,242.751,2.1844200000000003,2.58551,-35.0093841552734,22.0009689331055,-35.0,22.0,42164.4,-9752.34,pp-riro,4,0,-1,-1
