time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570538661.1,2019-10-08,14:44:21.100,15.0,7.0,14.9700002670288,10.6,-3.1,2.3,16.7,-2.2,-70.6,9.86115,-2.50236,2.51295,10.6101,9.28706,4.1079300000000005,19.966,10.7292,-73.1245,0.169326,0.218584,0.8529909999999999,262.7,9.0,52.1701,4.42724,0.2,-2.00467,95.1329,4.45193,48.4261,6.840489999999999,236.708,1.36705,0.1201349999999999,241.708,0.4912479999999999,1.47151,-34.111618041992195,22.0323791503906,-35.0,22.0,-119578.0,-7198.89,pp-riro,4,0,-1,-1
1570538661.2,2019-10-08,14:44:21.200,15.0,7.0,14.609999656677198,11.1,-2.6,2.3,17.5,-3.1,-68.2,10.7436,-1.7028599999999998,2.91508,7.240360000000001,7.812410000000001,3.92744,21.721,9.94731,-67.6417,0.0498786,0.199271,0.92667,262.7,9.0,52.1701,4.42724,0.2,-2.01908,93.0859,4.45199,48.2509,7.98053,236.608,1.36697,0.0964892,241.61,0.559615,1.54683,-34.71923828125,22.0102367401123,-35.0,22.0,-119961.0,-7383.48,pp-riro,4,0,-1,-1
1570538661.3,2019-10-08,14:44:21.300,15.0,8.0,14.359999656677198,12.0,-1.9,2.7,19.0,-4.1,-63.4,11.5961,-0.86392,3.18718,7.634710000000001,9.16466,2.83363,23.5431,8.85337,-62.2124,0.220047,0.234668,0.878494,260.0,9.4,52.1701,4.42724,0.2,-2.08723,86.6699,4.45204,48.0172,9.12057,236.408,1.36693,0.0726363999999999,241.408,0.671231,1.64572,-34.973541259765604,22.004056930542003,-35.0,22.0,-121363.0,-10613.7,pp-riro,4,0,-1,-1
1570538661.4,2019-10-08,14:44:21.400,15.0,8.0,14.109999656677198,12.9,-0.9,3.0,20.7,-5.6,-58.4,11.5961,-0.86392,3.18718,7.634710000000001,9.16466,2.83363,23.5431,8.85337,-62.2124,0.220047,0.234668,0.878494,260.0,9.4,52.1701,4.42724,0.2,-2.12768,85.6225,4.4521,47.8712,10.2606,236.208,1.36642,0.0491469,241.228,0.787431,1.7557,-34.975250244140604,21.9983940124512,-35.0,22.0,-121951.0,-11782.8,pp-riro,4,0,-1,-1
1570538661.5,2019-10-08,14:44:21.500,15.0,8.0,13.9799995422363,13.7,0.0,3.3,22.2,-6.9,-53.5,12.3275,0.0774797,3.5583,7.99114,9.55526,5.97645,25.2197,7.62737,-56.6873,0.1721859999999999,0.0987627,0.8419639999999999,260.0,9.4,52.1701,4.42724,0.2,-2.23794,86.7185,4.45215,47.7543,11.4006,236.008,1.36569,0.0258869,241.061,0.901305,1.84767,-34.975250244140604,21.9994239807129,-35.0,22.0,-123807.0,-12982.6,pp-riro,4,0,-1,-1
1570538661.6,2019-10-08,14:44:21.600,15.0,8.0,13.789999961853,14.4,0.7,3.7,23.7,-8.7,-48.6,13.4718,1.31753,4.06428,7.8933,5.7969,4.69771,27.5552,5.3308,-48.5314,0.284096,0.19179,0.91719,260.0,9.4,52.1701,4.42724,0.2,-2.30775,90.2917,4.45221,47.7835,13.3007,235.808,1.36348,-0.0113005,240.968,1.03109,1.93395,-34.9871978759766,21.9994239807129,-35.0,22.0,-124994.0,-12182.7,pp-riro,4,0,-1,-1
1570538661.7,2019-10-08,14:44:21.700,15.0,9.0,13.5299997329712,15.3,1.7,4.1,24.9,-10.4,-43.5,14.185,2.16583,4.49777,9.07815,6.97765,4.27976,28.792,3.58827,-42.8898,0.220468,0.196993,0.981962,260.0,9.4,52.1701,4.42724,0.2,-2.3543,91.3111,4.45226,47.9003,14.4408,235.508,1.3614700000000002,-0.032683,240.764,1.14814,2.01648,-34.9889068603516,21.9994239807129,-35.0,22.0,-125972.0,-9260.11,pp-riro,4,0,-1,-1
1570538661.8,2019-10-08,14:44:21.800,15.0,9.0,13.3999996185303,15.9,2.7,4.5,25.8,-12.3,-38.7,14.8627,3.10126,4.94543,4.7057400000000005,8.83359,3.6123,29.6085,1.7373599999999998,-37.4004,0.0854241,0.12629,0.947227,260.0,9.4,52.1701,4.42724,0.2,-2.38532,89.7046,4.452319999999999,48.13399999999999,15.9608,235.108,1.35836,-0.0600827,240.515,1.26688,2.10085,-34.9957275390625,21.9994239807129,-35.0,22.0,-126480.0,-9998.46,pp-riro,4,0,-1,-1
1570538661.9,2019-10-08,14:44:21.900,15.0,10.0,13.2600002288818,16.4,3.8,4.9,26.6,-14.2,-33.9,15.3823,4.14403,5.2762,6.43702,10.9608,4.91028,30.3829,-0.260283,-32.0849,0.0871745,0.159091,0.912868,260.0,9.4,52.1701,4.42725,0.1,-2.44073,86.484,4.452369999999999,48.426,17.4809,234.808,1.35495,-0.0864058,240.386,1.38438,2.18555,-34.9991455078125,21.9994239807129,-35.0,22.0,-127675.0,-13044.1,pp-riro,4,0,-1,-1
1570538662.0,2019-10-08,14:44:22.000,15.0,10.0,13.2600002288818,17.0,4.9,5.2,27.0,-15.9,-28.7,15.898,5.16176,5.66819,5.524719999999999,10.5857,2.63901,30.9388,-2.3727400000000003,-26.9113,0.162951,0.117245,0.967769,260.0,9.4,52.1701,4.42725,0.1,-2.51166,87.4615,4.45244,48.8349,19.0009,234.408,1.35087,-0.1110839999999999,240.194,1.50612,2.2606900000000003,-34.9991455078125,21.9994239807129,-35.0,22.0,-129050.0,-14182.4,pp-riro,4,0,-1,-1
