time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570536564.2,2019-10-08,14:09:24.200,14.0,9.0,13.3199996948242,12.0,-2.3,3.4,23.9,-5.8,-55.0,9.95311,-1.88603,3.30391,8.852310000000001,4.74102,4.6603,27.7451,10.8055,-57.7187,0.2221199999999999,0.14977,0.970863,257.6,5.7,52.1701,4.427219999999999,7.0,-2.44073,87.0185,4.47812,58.7655,15.9609,238.378,1.32069,-0.0309364,246.033,0.9117,1.71253,-34.975250244140604,22.0009689331055,-35.0,22.0,-810472.0,-12059.7,pp-riro,4,0,-1,-1
1570536564.3,2019-10-08,14:09:24.300,14.0,10.0,13.0500001907349,12.7,-1.3,3.8,24.9,-8.2,-50.0,11.1249,-0.983711,3.950930000000001,6.57815,7.4238,1.83265,29.695,7.61246,-49.326,0.0673271,0.0496315,0.982477,257.6,5.7,52.1701,4.427219999999999,7.0,-2.54933,79.8232,4.478280000000001,58.5611,17.480999999999998,238.078,1.31952,-0.0559773,245.797,1.03387,1.82488,-34.9889068603516,22.0009689331055,-35.0,22.0,-812678.0,-17135.8,pp-riro,4,0,-1,-1
1570536564.4,2019-10-08,14:09:24.400,14.0,9.0,12.8400001525879,13.3,-0.3,4.2,25.7,-10.3,-45.1,11.7252,-0.0647295,4.2853,5.26359,8.75676,3.78068,30.4231,5.01612,-44.2507,0.0556380999999999,0.0707294,0.923794,257.6,5.7,52.1701,4.427219999999999,7.0,-2.64408,77.9747,4.47844,58.4442,18.621,237.778,1.31833,-0.0744117,245.563,1.14681,1.92238,-34.9940185546875,22.0009689331055,-35.0,22.0,-814599.0,-19904.6,pp-riro,4,0,-1,-1
1570536564.5,2019-10-08,14:09:24.500,14.0,9.0,12.710000038147,13.8,0.6,4.7,26.2,-12.2,-40.3,12.2448,0.90866,4.70564,4.5114,10.027,5.62643,31.2626,2.5459400000000003,-39.2961,0.117622,0.0975188,0.906284,257.6,5.7,52.1701,4.427219999999999,7.0,-2.71113,77.084,4.4785900000000005,58.4442,20.1411,237.378,1.31604,-0.0980805,245.296,1.26243,2.01298,-34.9940185546875,22.0009689331055,-35.0,22.0,-815617.0,-19320.1,pp-riro,4,0,-1,-1
1570536564.6,2019-10-08,14:09:24.600,14.0,9.0,12.7700004577637,14.1,1.7,5.0,26.4,-14.2,-35.3,12.6859,1.87058,5.1783,2.57826,8.9391,3.41908,31.9351,0.2247829999999999,-34.3423,0.0303406999999999,0.136373,0.916394,257.6,5.7,52.1701,4.427219999999999,7.0,-2.88123,66.4224,4.47875,58.5318,21.2811,236.978,1.3138,-0.115088,245.026,1.37508,2.10385,-34.9940185546875,22.0009689331055,-35.0,22.0,-819102.0,-26334.4,pp-riro,4,0,-1,-1
1570536564.7,2019-10-08,14:09:24.700,14.0,9.0,12.7700004577637,14.5,2.6,5.2,26.8,-16.1,-30.2,12.9637,2.78459,5.49412,1.6122,8.10522,1.06846,32.0878,-1.87741,-29.32,0.00347362,0.134341,0.932184,257.6,5.7,52.1701,4.427219999999999,6.7,-3.0491200000000003,64.8932,4.47891,58.707,22.4212,236.678,1.31126,-0.131344,244.879,1.48782,2.17347,-34.9940185546875,22.0009689331055,-35.0,22.0,-822261.0,-32579.6,pp-riro,4,0,-1,-1
1570536564.8,2019-10-08,14:09:24.800,14.0,9.0,12.9099998474121,14.6,3.2,5.5,26.9,-17.0,-27.6,13.3979,4.19086,5.9041,3.20788,9.4271,5.784680000000001,32.2023,-4.78756,-21.5764,0.164974,0.223763,0.875919,257.6,5.7,52.1701,4.427219999999999,6.7,-3.135,68.8554,4.47915,58.9991,24.3212,236.378,1.30711,-0.157764,244.841,1.5630000000000002,2.23749,-34.9974365234375,22.0009689331055,-35.0,22.0,-824013.0,-33010.3,pp-riro,4,0,-1,-1
1570536564.9,2019-10-08,14:09:24.900,14.0,8.0,12.9799995422363,15.0,4.2,5.8,26.9,-18.6,-22.7,13.7646,5.06829,6.42014,3.56449,11.5976,3.58656,31.9978,-6.43802,-16.1487,-0.0302445,0.236842,0.963459,257.6,5.7,52.1701,4.427219999999999,6.7,-3.28349,78.6738,4.47923,59.1743,24.7013,235.978,1.30547,-0.1622839999999999,244.535,1.6581,2.29611,-34.9974365234375,22.0009689331055,-35.0,22.0,-826778.0,-27195.8,pp-riro,4,0,-1,-1
1570536565.0,2019-10-08,14:09:25.000,14.0,10.0,13.119999885559098,15.3,5.3,6.4,26.8,-20.3,-17.7,13.7646,5.06829,6.42014,3.56449,11.5976,3.58656,31.9978,-6.43802,-16.1487,-0.0302445,0.236842,0.963459,257.6,5.7,52.1701,4.427219999999999,6.7,-3.38046,84.404,4.47939,59.6124,26.2213,235.478,1.30098,-0.181391,244.318,1.7693299999999998,2.37472,-34.9974365234375,22.0009689331055,-35.0,22.0,-829062.0,-21166.0,pp-riro,4,0,-1,-1
1570536565.1,2019-10-08,14:09:25.100,14.0,11.0,13.1800003051758,15.5,6.3,6.8,26.5,-22.2,-12.1,14.0032,6.01854,6.796539999999999,1.3134,7.9538,3.9442,31.2716,-7.97205,-10.5484,0.0990211,0.303423,0.969377,265.5,5.6,52.1701,4.427219999999999,6.7,-3.48906,90.9438,4.47955,60.1673,28.1214,234.878,1.29523,-0.204375,244.088,1.89425,2.44716,-34.9974365234375,22.0009689331055,-35.0,22.0,-831896.0,-16828.2,pp-riro,4,0,-1,-1
1570536565.2,2019-10-08,14:09:25.200,14.0,12.0,13.4499998092651,15.9,7.5,7.2,26.5,-23.5,-6.7,14.1847,6.98574,7.18957,4.02241,10.2826,2.91961,30.7181,-9.60064,-5.52872,0.120568,0.2294929999999999,0.8577969999999999,265.5,5.6,52.1701,4.427219999999999,6.7,-3.52009,96.2026,4.47965,60.8391,29.2614,234.278,1.29023,-0.2155639999999999,243.811,2.00022,2.50897,-34.9974365234375,22.0009689331055,-35.0,22.0,-832757.0,-15997.5,pp-riro,4,0,-1,-1
1570536565.3,2019-10-08,14:09:25.300,14.0,12.0,13.9700002670288,16.1,8.7,7.6,26.2,-24.7,-1.2,14.1847,6.98574,7.18957,4.02241,10.2826,2.91961,30.7181,-9.60064,-5.52872,0.120568,0.2294929999999999,0.8577969999999999,265.5,5.6,52.1701,4.427219999999999,6.7,-3.52895,108.476,4.47975,61.5692,31.1615,233.578,1.28354,-0.235895,243.558,2.11486,2.57953,-34.9991455078125,22.0009689331055,-35.0,22.0,-833540.0,-6029.84,pp-riro,4,0,-1,-1
1570536565.4,2019-10-08,14:09:25.400,14.0,12.0,14.3999996185303,16.3,9.9,8.2,25.4,-26.3,4.4,14.829,9.15829,7.994210000000001,0.886617,12.044,5.59905,29.3268,-12.6532,5.84448,0.00131588,0.279755,0.989248,265.5,5.6,52.1701,4.427219999999999,6.7,-3.48906,119.886,4.47985,62.4454,32.6816,232.778,1.27679,-0.249576,243.21400000000003,2.22546,2.64096,-34.9991455078125,22.0009689331055,-35.0,22.0,-833613.0,1261.34,pp-riro,4,0,-1,-1
1570536565.5,2019-10-08,14:09:25.500,14.0,13.0,14.710000038147,16.2,12.0,9.0,24.8,-28.8,13.2,14.9153,10.9315,8.80839,1.17155,13.7418,3.2676,27.5337,-14.8192,14.9274,0.0259635,0.1809349999999999,1.0118,265.5,5.6,52.1701,4.427219999999999,6.7,-3.39652,127.752,4.47996,64.0518,35.3417,231.478,1.26469,-0.271767,242.763,2.39669,2.7479400000000003,-34.9991455078125,22.0009689331055,-23.0044822692871,22.0,-832619.0,11013.7,pp-riro,4,0,-1,-1
1570536565.6,2019-10-08,14:09:25.600,14.0,11.0,14.9499998092651,16.0,12.8,9.2,24.5,-29.5,16.1,14.8718,11.6119,9.0638,-6.55301,10.6144,6.10116,27.0274,-15.5443,18.0777,0.0527755,0.321158,0.972237,265.5,5.6,52.1701,4.427219999999999,6.7,-3.26465,134.215,4.48006,64.6359,36.1017,231.078,1.26074,-0.277047,242.648,2.44979,2.78714,-34.9991455078125,22.0009689331055,-23.0044822692871,22.0,-831143.0,16459.0,pp-riro,4,0,-1,-1
1570536565.7,2019-10-08,14:09:25.700,14.0,9.0,15.3000001907349,15.6,14.3,9.6,23.7,-30.6,22.1,14.7103,12.3097,9.24027,-6.25888,14.48,5.53064,26.4799,-16.3325,21.116,0.173195,0.300467,0.892194,265.5,5.6,52.1701,4.42721,6.4,-3.0879,141.09,4.48016,65.9502,37.2418,230.178,1.25291,-0.281829,242.319,2.55166,2.85355,-34.973541259765604,22.0009689331055,-23.0044822692871,22.0,-829190.0,20796.8,pp-riro,4,0,-1,-1
1570536565.8,2019-10-08,14:09:25.800,14.0,9.0,15.640000343322802,15.0,15.8,10.1,23.0,-31.6,28.1,14.0974,14.3363,9.94125,-5.97591,14.2558,4.8394900000000005,25.1191,-18.1889,30.0411,0.220689,0.21675,0.966949,265.5,5.6,52.1701,4.42721,6.4,-2.8973,148.72299999999998,4.48026,67.3813,39.1418,229.178,1.24304,-0.294133,242.064,2.65852,2.92898,-34.4546813964844,22.0009689331055,-23.0044822692871,22.0,-826998.0,23934.8,pp-riro,4,0,-1,-1
1570536565.9,2019-10-08,14:09:25.900,14.0,8.0,16.0300006866455,14.3,17.2,10.5,22.0,-32.4,34.2,13.8308,15.0071,10.1587,-5.51021,14.7027,2.86247,24.4527,-18.8223,33.0674,0.191906,0.161237,0.959859,265.5,5.6,52.1701,4.42721,6.4,-2.65405,155.079,4.48037,68.9877,40.2819,228.178,1.23403,-0.296476,241.758,2.75603,2.99141,-33.6320190429688,22.0009689331055,-23.0044822692871,22.0,-824362.0,26149.8,pp-riro,4,0,-1,-1
1570536566.0,2019-10-08,14:09:26.000,14.0,8.0,16.3600006103516,13.4,18.5,10.9,20.7,-33.4,40.5,12.714,16.9707,10.7306,-11.9752,9.09784,3.13242,22.4088,-20.3883,42.2902,0.106814,0.332327,1.05105,265.5,5.6,52.1701,4.42721,6.4,-2.27285,161.713,4.48047,70.7109,42.182,227.178,1.22309,-0.305903,241.639,2.86192,3.0609,-32.4560546875,22.0009689331055,-23.0044822692871,22.0,-820519.0,25196.1,pp-riro,4,0,-1,-1
