time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570535662.0,2019-10-08,13:54:22.000,14.0,8.0,14.1599998474121,11.8,-1.8,3.0,15.5,-7.4,-51.7,10.4537,-1.65178,3.27471,7.878819999999999,9.87536,3.09132,19.1835,7.1512,-54.1683,0.213425,0.2163389999999999,0.857876,269.4,4.0,52.1701,4.42724,-0.1,-3.02584,87.1974,4.51582,33.326,-8.3602,243.245,1.43047,0.442362,245.66,0.4340819999999999,1.21009,-34.6714477539062,22.0504035949707,-35.0,22.0,-1022050.0,-14674.7,pp-riro,4,0,-1,-1
1570535662.1,2019-10-08,13:54:22.100,14.0,6.0,14.0299997329712,12.4,-0.7,3.3,16.7,-8.2,-46.9,11.1084,-0.623689,3.58319,6.73464,8.451030000000001,3.26848,20.7214,6.22617,-48.8543,0.1832099999999999,0.205575,0.899439,271.5,4.3,52.1701,4.42724,-0.1,-3.08901,85.0616,4.5159400000000005,33.1215,-7.220160000000001,243.045,1.43221,0.411085,245.398,0.5523710000000001,1.33799,-34.9547729492188,22.0215663909912,-35.0,22.0,-1023640.0,-16120.6,pp-riro,4,0,-1,-1
1570535662.2,2019-10-08,13:54:22.200,14.0,7.0,13.6499996185303,13.0,0.4,3.6,18.3,-9.7,-41.8,11.1084,-0.623689,3.58319,6.73464,8.451030000000001,3.26848,20.7214,6.22617,-48.8543,0.1832099999999999,0.205575,0.899439,271.5,4.3,52.1701,4.42724,-0.1,-3.20703,76.1071,4.51615,33.0923,-6.08012,242.745,1.43307,0.377948,245.066,0.678982,1.45904,-34.968414306640604,22.0050868988037,-35.0,22.0,-1026550.0,-22458.1,pp-riro,4,0,-1,-1
1570535662.3,2019-10-08,13:54:22.300,14.0,8.0,13.390000343322802,13.5,1.6,3.9,19.4,-11.4,-36.7,11.3429,-0.0360802,3.84626,4.6891,10.5298,4.25741,21.6032,5.75957,-46.0823,0.14238,0.150396,0.94324,271.5,4.3,52.1701,4.42724,-0.1,-3.25634,72.7873,4.51636,33.1215,-4.56006,242.545,1.43381,0.3328489999999999,244.83900000000003,0.818343,1.5913,-34.971832275390604,22.0009689331055,-35.0,22.0,-1027910.0,-25934.5,pp-riro,4,0,-1,-1
1570535662.4,2019-10-08,13:54:22.400,14.0,7.0,13.0500001907349,13.8,2.7,4.2,20.8,-12.8,-31.6,11.3429,-0.0360802,3.84626,4.6891,10.5298,4.25741,21.6032,5.75957,-46.0823,0.14238,0.150396,0.94324,271.5,4.3,52.1701,4.42724,-0.1,-3.4585800000000004,73.2433,4.51657,33.2967,-3.42002,242.145,1.43344,0.298177,244.448,0.946819,1.70137,-34.9871978759766,22.0009689331055,-35.0,22.0,-1032290.0,-30456.8,pp-riro,4,0,-1,-1
1570535662.5,2019-10-08,13:54:22.500,14.0,8.0,12.9099998474121,14.2,3.8,4.5,21.9,-14.0,-26.4,11.3429,-0.0360802,3.84626,4.6891,10.5298,4.25741,21.6032,5.75957,-46.0823,0.14238,0.150396,0.94324,271.5,4.3,52.1701,4.42724,-0.1,-3.5860199999999995,74.7173,4.516780000000001,33.5596,-1.51994,241.846,1.43277,0.240873,244.168,1.09945,1.82581,-34.9889068603516,22.0009689331055,-35.0,22.0,-1035280.0,-29318.6,pp-riro,4,0,-1,-1
1570535662.6,2019-10-08,13:54:22.600,14.0,8.0,12.7700004577637,14.5,5.0,4.9,22.9,-15.3,-21.3,12.8915,4.393330000000001,5.1660900000000005,2.23104,10.8036,3.08876,27.124,0.179064,-23.2633,0.167817,0.242176,0.994063,271.5,4.3,52.1701,4.42724,-0.1,-3.71014,70.6869,4.51699,33.9393,-0.379898,241.446,1.43114,0.206701,243.82,1.22714,1.93043,-34.9974365234375,22.0009689331055,-35.0,22.0,-1038390.0,-31749.0,pp-riro,4,0,-1,-1
1570535662.7,2019-10-08,13:54:22.700,14.0,8.0,12.7700004577637,14.6,6.2,5.3,23.6,-16.8,-16.4,13.0639,4.94875,5.33368,2.86774,9.71761,2.47242,27.7031,-0.528927,-20.4088,0.0890488,0.218079,0.984247,271.5,4.3,52.1701,4.42724,0.0,-3.85309,67.3398,4.5172300000000005,34.4358,1.14016,241.046,1.42882,0.1622,243.496,1.36193,2.0438,-34.9991455078125,22.0009689331055,-35.0,22.0,-1041900.0,-36548.2,pp-riro,4,0,-1,-1
1570535662.8,2019-10-08,13:54:22.800,14.0,7.0,12.5600004196167,14.7,7.2,5.6,23.9,-18.3,-11.3,13.3261,6.5604,5.88879,1.8566,11.6407,3.80025,29.0529,-2.78173,-11.9731,0.173709,0.277421,0.8909100000000001,271.5,4.3,52.1701,4.42724,0.0,-3.93232,67.3294,4.517469999999999,35.0199,2.6602200000000003,240.546,1.42582,0.119098,243.096,1.49833,2.13925,-34.9991455078125,22.0009689331055,-35.0,22.0,-1043940.0,-38486.4,pp-riro,4,0,-1,-1
1570535662.9,2019-10-08,13:54:22.900,14.0,7.0,12.5600004196167,14.7,8.2,6.0,24.4,-19.8,-6.0,13.3261,6.5604,5.88879,1.8566,11.6407,3.80025,29.0529,-2.78173,-11.9731,0.173709,0.277421,0.8909100000000001,271.5,4.3,52.1701,4.42724,0.0,-4.0714,69.7802,4.51762,35.7209,4.180280000000001,240.046,1.42208,0.0782768,242.725,1.6357,2.2327,-35.0093841552734,22.0009689331055,-35.0,22.0,-1047910.0,-39901.5,pp-riro,4,0,-1,-1
