time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570537491.5,2019-10-08,14:24:51.500,15.0,10.0,14.7799997329712,11.6,-3.6,2.4,18.5,-3.9,-60.9,10.446,-2.36745,3.00833,11.964,7.43338,2.8604700000000003,22.1103,10.8811,-59.6342,0.270469,0.150054,0.971286,251.0,4.3,52.1701,4.427219999999999,8.9,-2.7471400000000004,101.759,4.45854,47.9589,4.5604,238.025,1.3711,0.159041,242.852,0.6200680000000001,1.40738,-34.7977447509766,22.0318641662598,-35.0,22.0,-603465.0,-6091.37,pp-riro,4,0,-1,-1
1570537491.6,2019-10-08,14:24:51.600,15.0,10.0,14.4099998474121,12.7,-2.7,2.8,20.0,-5.3,-55.7,10.9871,-1.93674,3.09919,8.4752,9.40329,2.94391,23.1787,10.4443,-56.6827,0.271488,0.23964,1.0248,251.0,4.3,52.1701,4.427219999999999,8.9,-2.71944,113.45,4.458480000000001,47.5791,6.08045,237.825,1.37178,0.126805,242.614,0.7482810000000001,1.53267,-34.971832275390604,22.0102367401123,-35.0,22.0,-603927.0,-1353.64,pp-riro,4,0,-1,-1
1570537491.7,2019-10-08,14:24:51.700,15.0,10.0,14.1000003814697,13.6,-1.8,3.1,21.7,-6.6,-50.6,11.8727,-1.06358,3.56494,9.34626,10.7301,5.3788,25.0336,9.24269,-50.8583,0.157189,0.1467119999999999,0.956453,251.0,4.3,52.1701,4.427219999999999,8.9,-2.66347,113.145,4.45837,47.3163,7.22049,237.625,1.37203,0.1025869999999999,242.398,0.866532,1.63479,-34.971832275390604,22.0019989013672,-35.0,22.0,-603615.0,3691.74,pp-riro,4,0,-1,-1
1570537491.8,2019-10-08,14:24:51.800,15.0,12.0,13.9799995422363,14.6,-0.8,3.4,23.0,-8.2,-45.5,12.7655,-0.181779,3.93698,6.60732,8.31205,3.0527900000000003,26.6548,7.519789999999999,-45.2255,0.203324,0.241696,0.982015,251.0,4.3,52.1701,4.427219999999999,8.8,-2.60751,104.942,4.45822,47.1702,8.36053,237.425,1.3717,0.0787461,242.21,0.985403,1.73452,-34.9889068603516,22.0009689331055,-35.0,22.0,-603510.0,246.116,pp-riro,4,0,-1,-1
1570537491.9,2019-10-08,14:24:51.900,15.0,11.0,14.1000003814697,15.4,0.1,3.6,24.4,-10.1,-39.8,13.9098,1.28803,4.26585,7.63921,11.9951,3.77524,28.8434,4.62513,-36.8404,0.152646,0.173442,0.937551,251.0,4.3,52.1701,4.427219999999999,8.8,-2.5908900000000004,101.921,4.45816,47.0826,9.88059,237.225,1.37071,0.0473776,242.054,1.12337,1.82503,-34.9889068603516,22.0009689331055,-35.0,22.0,-603711.0,-4060.91,pp-riro,4,0,-1,-1
1570537492.0,2019-10-08,14:24:52.000,15.0,11.0,14.2299995422363,16.1,1.2,3.8,25.2,-12.1,-34.2,14.4931,2.2868,4.51181,5.78913,8.81353,2.93588,29.6884,2.27313,-31.1885,0.0134402999999999,0.205956,1.05724,251.0,4.3,52.1701,4.427219999999999,8.8,-2.58036,104.889,4.45805,47.1118,11.4006,236.925,1.369,0.0168587,241.833,1.25903,1.92109,-34.9871978759766,22.0009689331055,-35.0,22.0,-604223.0,-6091.37,pp-riro,4,0,-1,-1
1570537492.1,2019-10-08,14:24:52.100,15.0,9.0,14.4200000762939,16.7,2.3,4.1,26.0,-13.9,-28.6,15.1619,3.24708,4.79171,4.06326,11.5386,2.24571,30.4575,-0.0322364,-24.9381,0.0411476,0.287146,1.18686,251.0,4.3,52.1701,4.427219999999999,8.8,-2.54435,109.679,4.45794,47.2286,13.3007,236.725,1.36642,-0.0200682,241.757,1.40024,2.01917,-34.9871978759766,22.0009689331055,-35.0,22.0,-604333.0,-430.703,pp-riro,4,0,-1,-1
1570537492.2,2019-10-08,14:24:52.200,15.0,9.0,14.539999961853,17.0,3.7,4.5,26.6,-16.0,-22.4,15.3838,3.76922,4.9425300000000005,3.11388,11.1195,2.86475,30.6173,-1.00999,-21.6622,0.175725,0.301429,1.0583,255.9,6.9,52.1701,4.427219999999999,8.8,-2.51775,105.549,4.45786,47.5206,14.8208,236.425,1.3632799999999998,-0.0478217,241.609,1.54315,2.12376,-34.9889068603516,22.0009689331055,-35.0,22.0,-604290.0,799.877,pp-riro,4,0,-1,-1
1570537492.3,2019-10-08,14:24:52.300,15.0,9.0,14.539999961853,16.9,5.3,5.0,26.7,-18.7,-16.3,15.4709,4.41022,5.15113,0.511112,12.8296,1.55686,30.8488,-2.10576,-18.3205,0.0512233,0.162891,1.18877,255.9,6.9,52.1701,4.427219999999999,8.8,-2.50888,94.7427,4.45783,47.9295,16.7208,236.025,1.35895,-0.081116,241.422,1.69154,2.24627,-34.9923248291016,22.0009689331055,-35.0,22.0,-605046.0,-7475.77,pp-riro,4,0,-1,-1
1570537492.4,2019-10-08,14:24:52.400,15.0,9.0,14.6000003814697,17.0,6.7,5.3,26.7,-21.0,-10.6,15.4949,5.06827,5.34438,-1.07198,13.8644,3.8847,30.9089,-3.32769,-15.0413,0.119871,0.194316,1.19038,255.9,6.9,52.1701,4.427219999999999,8.8,-2.53714,95.4833,4.4578,48.4844,18.2409,235.625,1.35439,-0.105248,241.252,1.82162,2.3395900000000003,-34.9940185546875,22.0009689331055,-35.0,22.0,-605933.0,-9752.34,pp-riro,4,0,-1,-1
