time,date,time_of_day,airspeed_temperature,airspeed_angle_of_attack,airspeed_apparent_windspeed,kite_0_vx,kite_0_vy,kite_0_vz,kite_0_roll,kite_0_pitch,kite_0_yaw,kite_1_vx,kite_1_vy,kite_1_vz,kite_1_ax,kite_1_ay,kite_1_az,kite_1_roll,kite_1_pitch,kite_1_yaw,kite_1_roll_rate,kite_1_pitch_rate,kite_1_yaw_rate,ground_upwind_direction,ground_wind_velocity,ground_pos_latitude,ground_pos_longitude,ground_pos_altitude,ground_tether_reelout_speed,ground_tether_force,est_upwind_direction,kite_pos_east,kite_pos_north,kite_height,kite_elevation,kite_azimuth,kite_distance,kite_heading,kite_course,kite_actual_steering,kite_actual_depower,kite_set_steering,kite_set_depower,ground_mech_energy,ground_mech_power,flight_phase,flight_phase_index,phase,pattern,pattern_section
1570536181.9,2019-10-08,14:03:01.900,14.0,8.0,15.0,13.2,-0.5,1.7,20.1,0.0,-49.2,12.1582,0.0873206,2.3689,7.510969999999999,10.4087,2.46128,23.3847,14.4019,-49.612,0.0723578999999999,0.096834,0.97009,268.4,6.0,52.1701,4.4272,10.3,-2.1648,103.121,4.560969999999999,67.9078,-14.06,232.618,1.28106,0.355576,242.735,0.526226,1.37465,-34.936004638671896,22.027229309082,-35.0,22.0,-952040.0,-1322.87,pp-riro,4,0,-1,-1
1570536182.0,2019-10-08,14:03:02.000,14.0,7.0,14.8299999237061,13.7,0.6,2.0,22.1,-1.9,-44.0,12.4526,0.646688,2.49154,4.91104,11.8167,3.93912,24.6162,13.784,-46.50899999999999,0.237525,0.209206,0.993889,268.4,6.0,52.1701,4.4272,10.3,-2.15316,98.2981,4.560980000000001,67.9078,-12.54,232.518,1.2821,0.334013,242.556,0.646215,1.4790299999999998,-34.975250244140604,22.0081768035889,-35.0,22.0,-952256.0,-4030.15,pp-riro,4,0,-1,-1
1570536182.1,2019-10-08,14:03:02.100,14.0,8.0,14.5799999237061,14.3,1.8,2.3,24.0,-3.3,-38.7,13.127,2.44662,3.05948,5.28803,12.8536,1.7154,27.9316,11.1353,-37.5264,0.152319,0.126364,0.947243,274.7,5.6,52.1701,4.4272,10.3,-2.18585,90.7731,4.5609,67.9662,-11.3999,232.418,1.28254,0.31764,242.42,0.761725,1.5769,-34.978668212890604,22.0019989013672,-35.0,22.0,-953392.0,-10090.8,pp-riro,4,0,-1,-1
1570536182.2,2019-10-08,14:03:02.200,14.0,7.0,14.640000343322802,14.8,3.0,2.7,25.9,-4.8,-33.4,13.127,2.44662,3.05948,5.28803,12.8536,1.7154,27.9316,11.1353,-37.5264,0.152319,0.126364,0.947243,274.7,5.6,52.1701,4.4272,10.3,-2.21356,91.2739,4.56093,68.1707,-10.2599,232.318,1.28233,0.300845,242.33,0.878127,1.66996,-34.9889068603516,22.0009689331055,-35.0,22.0,-953915.0,-10583.0,pp-riro,4,0,-1,-1
1570536182.3,2019-10-08,14:03:02.300,14.0,8.0,14.460000038147,15.2,4.1,3.3,27.9,-6.9,-27.9,13.3739,3.04279,3.17864,3.99444,11.2938,2.38726,28.8863,10.1341,-34.535,0.300672,0.236958,1.00451,274.7,5.6,52.1701,4.4272,10.3,-2.28171,94.132,4.5609,68.4627,-8.35983,232.118,1.28197,0.272996,242.148,1.01165,1.76561,-34.9889068603516,22.0009689331055,-35.0,22.0,-955267.0,-8614.06,pp-riro,4,0,-1,-1
1570536182.4,2019-10-08,14:03:02.400,14.0,8.0,14.210000038147,15.5,5.3,3.8,29.0,-9.0,-23.0,14.0791,5.20209,4.16024,2.56792,10.1052,7.97657,32.4647,6.33935,-22.3541,0.120656,0.191413,1.07914,274.7,5.6,52.1701,4.4272,10.3,-2.2939,94.298,4.56087,68.8424,-7.21978,231.918,1.28075,0.255995,242.027,1.12402,1.85061,-34.9889068603516,22.0009689331055,-35.0,22.0,-955687.0,-8337.18,pp-riro,4,0,-1,-1
1570536182.5,2019-10-08,14:03:02.500,14.0,9.0,13.960000038147,15.8,6.5,4.2,30.1,-11.2,-17.9,14.0791,5.20209,4.16024,2.56792,10.1052,7.97657,32.4647,6.33935,-22.3541,0.120656,0.191413,1.07914,274.7,5.6,52.1701,4.4272,10.3,-2.33102,91.5945,4.56085,69.3389,-5.31971,231.617,1.27911,0.2281139999999999,241.832,1.25113,1.93835,-34.9889068603516,22.0009689331055,-35.0,22.0,-956492.0,-8398.71,pp-riro,4,0,-1,-1
1570536182.6,2019-10-08,14:03:02.600,14.0,8.0,13.8400001525879,15.9,7.7,4.6,31.1,-13.3,-12.3,14.4904,7.49582,5.0618300000000005,3.54938,10.5304,4.03065,34.6952,1.37807,-10.8586,0.0814506,0.213628,0.968116,274.7,5.6,52.1701,4.4272,10.3,-2.37757,88.5767,4.56082,70.0398,-3.79964,231.317,1.2763799999999998,0.205767,241.718,1.38059,2.02068,-34.9923248291016,22.0009689331055,-35.0,22.0,-957632.0,-11475.2,pp-riro,4,0,-1,-1
1570536182.7,2019-10-08,14:03:02.700,14.0,9.0,13.8400001525879,16.0,8.9,5.1,31.7,-15.6,-7.0,14.5743,8.6435,5.44923,-1.19451,10.655,6.58321,35.4199,-0.982651,-5.149769999999999,0.0215753,0.304051,1.0025700000000002,274.7,5.6,52.1701,4.4272,10.6,-2.464,89.6343,4.56079,70.77,-2.65959,230.917,1.27321,0.18916,241.533,1.49981,2.09438,-35.0093841552734,22.0009689331055,-35.0,22.0,-959407.0,-13228.7,pp-riro,4,0,-1,-1
1570536182.8,2019-10-08,14:03:02.800,14.0,9.0,13.8400001525879,16.0,10.1,5.7,32.2,-17.9,-1.7,14.5452,9.75506,5.94936,-0.507376,10.4832,3.84026,35.8805,-3.45965,0.656846,0.12671,0.223726,1.05859,274.7,5.6,52.1701,4.4272,10.6,-2.4967,91.7958,4.56077,71.6462,-0.75951,230.517,1.26944,0.162224,241.396,1.6282,2.17734,-35.0059814453125,22.0009689331055,-35.0,22.0,-960038.0,-12028.9,pp-riro,4,0,-1,-1
